"Season","SeasonEpNumber","Host","MusicalGuest","AirDate"
21,1,"Mariel Hemingway","Blues Traveler",1995-09-30
21,2,"Chevy Chase","Lisa Loeb & Nine Stories",1995-10-07
21,3,"David Schwimmer","Natalie Merchant",1995-10-21
21,4,"Gabriel Byrne","Alanis Morissette",1995-10-28
21,5,"Quentin Tarantino","The Smashing Pumpkins",1995-11-11
21,6,"Laura Leighton","Rancid",1995-11-18
21,7,"Anthony Edwards","Foo Fighters",1995-12-02
21,8,"David Alan Grier","Silverchair",1995-12-09
21,9,"Madeline Kahn","Bush",1995-12-16
21,10,"Christopher Walken","Joan Osborne",1996-01-13
21,11,"Alec Baldwin","Tori Amos",1996-01-20
21,12,"Danny Aiello","Coolio",1996-02-10
21,13,"Tom Arnold","Tupac Shakur",1996-02-17
21,14,"Elle Macpherson","Sting",1996-02-24
21,15,"John Goodman","Everclear",1996-03-16
21,16,"Phil Hartman","Gin Blossoms",1996-03-23
21,17,"Steve Forbes","Rage Against the Machine",1996-04-13
21,18,"Teri Hatcher","Dave Matthews Band",1996-04-20
21,19,"Christine Baranski","The Cure",1996-05-11
21,20,"Jim Carrey","Soundgarden",1996-05-18
22,1,"Tom Hanks","Tom Petty & the Heartbreakers",1996-09-28
22,2,"Lisa Kudrow","Sheryl Crow",1996-10-05
22,3,"Bill Pullman","New Edition",1996-10-19
22,4,"Dana Carvey","Dr. Dre",1996-10-26
22,5,"Chris Rock","The Wallflowers",1996-11-02
22,6,"Robert Downey, Jr.","Fiona Apple",1996-11-16
22,7,"Phil Hartman","Bush",1996-11-23
22,8,"Martin Short","No Doubt",1996-12-07
22,9,"Rosie O'Donnell","Whitney Houston",1996-12-14
22,10,"Kevin Spacey","Beck",1997-01-11
22,11,"David Alan Grier","Snoop Doggy Dogg",1997-01-18
22,12,"Neve Campbell","David Bowie",1997-02-08
22,13,"Chevy Chase","Live",1997-02-15
22,14,"Alec Baldwin","Tina Turner",1997-02-22
22,15,"Sting","Veruca Salt",1997-03-15
22,16,"Mike Myers","Aerosmith",1997-03-22
22,17,"Rob Lowe","Spice Girls",1997-04-12
22,18,"Pamela Anderson","Rollins Band",1997-04-19
22,19,"John Goodman","Jewel",1997-05-10
22,20,"Jeff Goldblum","En Vogue",1997-05-17
23,1,"Sylvester Stallone","Jamiroquai",1997-09-27
23,2,"Matthew Perry","Oasis",1997-10-04
23,3,"Brendan Fraser","Björk",1997-10-18
23,4,"Chris Farley","The Mighty Mighty Bosstones",1997-10-25
23,5,"Jon Lovitz","Jane's Addiction",1997-11-08
23,6,"Claire Danes","Mariah Carey",1997-11-15
23,7,"Rudolph Giuliani","Sarah McLachlan",1997-11-22
23,8,"Nathan Lane","Metallica & Marianne Faithfull",1997-12-06
23,9,"Helen Hunt","Hanson",1997-12-13
23,10,"Samuel L. Jackson","Ben Folds Five",1998-01-10
23,11,"Sarah Michelle Gellar","Portishead",1998-01-17
23,12,"John Goodman","Paula Cole",1998-02-07
23,13,"Roma Downey","Missy Misdemeanor Elliott",1998-02-14
23,14,"Garth Brooks","Garth Brooks",1998-02-28
23,15,"Scott Wolf","Natalie Imbruglia",1998-03-07
23,16,"Julianne Moore","Backstreet Boys",1998-03-14
23,17,"Steve Buscemi","Third Eye Blind",1998-04-04
23,18,"Greg Kinnear","All Saints",1998-04-11
23,19,"Matthew Broderick","Natalie Merchant",1998-05-02
23,20,"David Duchovny","Puff DaddyJimmy Page",1998-05-09
24,1,"Cameron Diaz","The Smashing Pumpkins",1998-09-26
24,2,"Kelsey Grammer","Sheryl Crow",1998-10-03
24,3,"Lucy Lawless","Elliott Smith",1998-10-17
24,4,"Ben Stiller","Alanis Morissette",1998-10-24
24,5,"David Spade","Eagle-Eye Cherry",1998-11-07
24,6,"Joan Allen","Jewel",1998-11-14
24,7,"Jennifer Love Hewitt","Beastie Boys",1998-11-21
24,8,"Vince Vaughn","Lauryn Hill",1998-12-05
24,9,"Alec Baldwin","Luciano PavarottiVanessa WilliamsPhiladelphia Boys Choir & Chorale",1998-12-12
24,10,"Bill Paxton","Beck",1999-01-09
24,11,"James Van Der Beek","Everlast",1999-01-16
24,12,"Gwyneth Paltrow","Barenaked Ladies",1999-02-06
24,13,"Brendan Fraser","Busta RhymesThe Roots",1999-02-13
24,14,"Bill Murray","Lucinda Williams",1999-02-20
24,15,"Ray Romano","The Corrs",1999-03-13
24,16,"Drew Barrymore","Garbage",1999-03-20
