"Season","SeasonEpNumber","Guests","Host","MusicalGuest","AirDate","Rating","Votes"
42,2,"Lin-Manuel Miranda/Twenty One Pilots","Lin-Manuel Miranda","Twenty One Pilots","2016-10-08",7.4,305
42,3,"Emily Blunt/Bruno Mars","Emily Blunt","Bruno Mars","2016-10-15",6.2,236
42,4,"Tom Hanks/Lady Gaga","Tom Hanks","Lady Gaga","2016-10-22",7.8,343
42,5,"Benedict Cumberbatch/Solange","Benedict Cumberbatch","Solange","2016-11-05",6.3,228
42,6,"Dave Chappelle/A Tribe Called Quest","Dave Chappelle","A Tribe Called Quest","2016-11-12",7.9,425
42,7,"Kristen Wiig/The XX","Kristen Wiig","The xx","2016-11-19",6.4,221
42,8,"Emma Stone/Shawn Mendes","Emma Stone","Shawn Mendes","2016-12-03",6.9,208
42,9,"John Cena/Maren Morris","John Cena","Maren Morris","2016-12-10",6.1,190
42,10,"Casey Affleck/Chance the Rapper","Casey Affleck","Chance the Rapper","2016-12-17",6.6,206
42,11,"Felicity Jones/Sturgill Simpson","Felicity Jones","Sturgill Simpson","2017-01-14",5.3,224
42,12,"Aziz Ansari/Big Sean","Aziz Ansari","Big Sean","2017-01-21",7.1,265
42,13,"Kristen Stewart/Alessia Cara","Kristen Stewart","Alessia Cara","2017-02-04",7.9,348
42,14,"Alec Baldwin/Ed Sheeran","Alec Baldwin","Ed Sheeran","2017-02-11",6.9,215
42,15,"Octavia Spencer/Father John Misty","Octavia Spencer","Father John Misty","2017-03-04",5.6,161
42,16,"Scarlett Johansson/Lorde","Scarlett Johansson","Lorde","2017-03-11",6.7,177
42,17,"Louis C.K./The Chainsmokers","Louis C.K.","The Chainsmokers","2017-04-08",7.4,199
42,18,"Jimmy Fallon/Harry Styles","Jimmy Fallon","Harry Styles","2017-04-15",6.4,185
42,19,"Chris Pine/LCD Soundsystem","Chris Pine","LCD Soundsystem","2017-05-06",5.9,149
42,20,"Melissa McCarthy/Haim","Melissa McCarthy","HAIM","2017-05-13",6.7,162
42,21,"Dwayne Johnson/Katy Perry","Dwayne Johnson","Katy Perry","2017-05-20",7.4,157
